ObjektNr;BaustKanton;Kurzbeschreibung;BauartCode;Baubeginn;Bauende;GesuchVom;BewilligtAm;BaukostenVon;BaukostenBis;AnzGeb;AnzWhg;AnzEtagen;AnzUG;AnzPP;CRBCode01;CRBCode02;CRBCode03;CRBCode04;CRBCode05;CRBCode06;CRBCode07;CRBCode08;CRBCode09;CRBCode10
99848959;BL;Um- und Anbau einer Garage für Personenwagenverkauf;3;Feb 06;Mai 06;26.10.2005;19.01.2006;0.3;0.3;1;0;1;0;0;59;;;;;;;;;
99845590;BL;Neubau Einfamilienhaus mit Carport         ;1;Jan 06;Jul 06;03.10.2005;19.01.2006;0.5;0.5;1;1;0;1;0;14;174;;;;;;;;
99843406;BL;Neubau von 10 Reiheneinfamilienhäusern            ;1; ; ;22.09.2005;26.01.2006;5;5;2;10;0;1;0;19;;;;;;;;;
99844430;BL;Erweiterung Einfamilienhaus mit Einliegerwohnung;2;Apr 06;Jul 06;28.09.2005;19.01.2006;0.26;0.26;1;2;3;0;0;14;;;;;;;;;
99832954;BL;Neubau Einfamilienhaus mit Autounterstand;1; ; ;20.07.2005;12.01.2006;0.6;0.6;1;1;2;1;0;14;174;;;;;;;;
99845584;BL;Umbau eines Einfamilienhauses                  ;3; ; ;10.01.2006; ;0.5;0.5;1;1;1;0;0;14;;;;;;;;;
99845485;BL;Neubau eines Einfamilienhauses;1;Jan 06; ;03.10.2005;11.01.2006;0.5;0.5;1;1;0;1;0;14;;;;;;;;;
99828570;BL;Umbau eines Mehrfamilienhauses                             ;3; ; ;31.01.2006; ;0.7;0.7;1;5;3;1;0;12;;;;;;;;;
99852436;BL;Anbau Wintergarten;2;Mrz 06; ;16.11.2005;11.01.2006;0.07;0.07;1;0;0;0;0;171;;;;;;;;;
99853434;BL;Neubau Einfamilienhaus mit Carport;1; ; ;24.11.2005;12.01.2006;0.5;0.5;1;1;0;1;0;14;174;;;;;;;;
99853547;BL;Neubau Einfamilienhaus mit Carport;1;Jan 06;Okt 06;23.11.2005;09.01.2006;0.456;0.456;1;1;2;1;0;14;174;;;;;;;;
99850089;BL;Neubau Einfamilienhaus mit angebauter Doppelgarage;1;Jan 06;Nov 06;31.10.2005;23.01.2006;0.5;0.5;1;1;2;1;0;14;139;;;;;;;;
99850087;BL;Einbau Ausstellungsraum und Verkaufsbüro unter bestehendes Vordach;3;Feb 06; ;03.11.2005;19.01.2006;0.3;0.3;1;0;1;0;0;59;;;;;;;;;
99850059;BL;Neubau eines Doppel-Einfamilienhauses;1; ; ;31.10.2005;26.01.2006;1;1;1;2;0;1;0;14;;;;;;;;;
99850049;BL;Anbau einer Garage, Carport und Wintergarten;2;Mrz 06;Sep 06;01.11.2005;18.01.2006;0.15;0.15;1;0;0;0;0;139;171;174;;;;;;;
99851139;BL;Neubau Einfamilienhaus mit freistehender Garage;1;Mrz 06;Okt 06;09.11.2005;03.01.2006;0.5;0.5;1;1;2;1;0;14;139;;;;;;;;
99851138;BL;Neubau Einfamilienhaus mit Carport;1;Jan 06;Sep 06;09.11.2005;09.01.2006;0.7;0.7;1;1;2;1;2;14;174;;;;;;;;
99837466;BL;Neubau von 4 Einfamilienhäusern mit Garagen                       ;1;Jan 06;Jan 07;17.08.2005;11.01.2006;1.4;1.6;4;4;2;1;0;14;139;;;;;;;;
99837463;BL;Neubau eines Einfamilienhauses mit Carport                  ;1; ; ;12.01.2006; ;0.5;0.5;1;1;2;1;0;14;174;;;;;;;;
99861949;BL;Aufbau Dachlukarne beim Einfamilienhaus;2; ; ;17.01.2006; ;0.03;0.03;1;1;1;0;0;14;;;;;;;;;
99861947;BL;Neubau Swimmingpool;1; ; ;17.01.2006; ;0.07;0.07;0;0;0;0;0;173;;;;;;;;;
99864165;BL;Verglasung eines Balkons;3; ; ;31.01.2006; ;0.03;0.03;1;0;0;0;0;;;;;;;;;;
99864161;BL;Neubau Einfamilienhaus mit Garage, Minergie                       ;1; ; ;31.01.2006; ;0.5;0.5;1;1;2;1;0;14;139;;;;;;;;
99864154;BL;Umbau eines Stalles, Neubau Jauchegrube;3; ; ;31.01.2006; ;0.635;0.635;1;0;1;0;0;43;48;;;;;;;;
99864152;BL;Einbau Atelier in bestehende Scheune;3; ; ;31.01.2006; ;0.1;0.1;1;0;1;0;0;39;;;;;;;;;
99864147;BL;Neubau eines Einfamilienhauses mit Carport;1; ; ;31.01.2006; ;0.53;0.53;1;1;2;1;0;14;174;;;;;;;;
99864142;BL;Sanierung und Umbau eines Stalles;3; ; ;31.01.2006; ;0.28;0.28;1;0;0;0;0;43;;;;;;;;;
99864141;BL;Neubau eines Einfamilienhauses mit integrierter Garage;1; ; ;31.01.2006; ;0.5;0.5;1;1;2;1;0;14;;;;;;;;;
99862997;BL;Neubau eines Doppel-Einfamilienhauses mit Autounterstand;1; ; ;25.01.2006; ;1;1;1;2;2;1;0;14;174;;;;;;;;
99862996;BL;Anbau eines Balkons;2; ; ;24.01.2006; ;0.03;0.03;1;0;0;0;0;;;;;;;;;;
99862992;BL;Neubau eines Gartenpavillons;1; ; ;25.01.2006; ;0.025;0.025;1;0;1;0;0;172;;;;;;;;;
99862991;BL;Neubau einer Mobilfunk-Antennenanlage GSM und UMTS Netz                 ;1; ; ;24.01.2006; ;0.07;0.07;0;0;0;0;0;631;;;;;;;;;
99862975;BL;Neubau Einfamilienhaus mit Carport;1; ; ;25.01.2006; ;0.6;0.6;1;1;2;1;0;14;174;;;;;;;;
99846833;BL;Neubau Doppeleinfamilienhaus mit Garage und Carport;1; ; ;12.10.2005;12.01.2006;1;1;1;2;0;1;0;14;139;174;;;;;;;
99861930;BL;Neubau Kleinkläranlage;1; ; ;17.01.2006; ;0.05;0.05;0;0;0;0;0;512;;;;;;;;;
99861928;BL;Anbau eines Wintergartens;2; ; ;16.01.2006; ;0.07;0.07;1;0;0;0;0;171;;;;;;;;;
99861931;BL;Neubau eines Reservoirs                           ;1; ; ;16.01.2006; ;0.8;0.8;1;0;0;1;0;52;323;;;;;;;;
99860606;BL;Verglasung einer Terrasse;2; ; ;10.01.2006; ;0.03;0.03;1;0;0;0;0;;;;;;;;;;
99860590;BL;Umbau eines Gewerbehauses in Mehrfamilienhaus;3; ; ;23.01.2006; ;0.3;0.3;1;3;0;0;0;12;;;;;;;;;
99860587;BL;Umbau und Erweiterung Doppelhaus-Teil, Aufbau Sonnenkollektoren;2; ; ;10.01.2006; ;0.2;0.2;1;1;1;0;0;14;;;;;;;;;
99860585;BL;Anbau eines Velo- und Gerätekellers;2; ; ;10.01.2006; ;0.05;0.05;1;0;0;1;0;14;;;;;;;;;
99860645;BL;Anbau eines Ausstellungsraumes;2; ; ;10.01.2006; ;0.2;0.2;1;0;1;0;0;38;;;;;;;;;
99860643;BL;Umbau/Umnutzung von Lager in Büros und Schulungsräume;3; ; ;10.01.2006; ;0.8;0.8;1;0;1;0;0;64;;;;;;;;;
99860642;BL;Neubau eines Einfamilienhauses mit Carport;1; ; ;10.01.2006; ;0.65;0.65;1;1;2;1;0;14;174;;;;;;;;
99860640;BL;Anbau Wintergarten und Autounterstand;2; ; ;11.01.2006; ;0.07;0.07;1;0;0;0;0;171;174;;;;;;;;
99860639;BL;Anbau eines Balkons und Geräteraum;2; ; ;10.01.2006; ;0.07;0.07;1;0;0;0;0;41;;;;;;;;;
99860638;BL;Neubau eines Einfamilienhauses mit Doppelcarport;1; ; ;10.01.2006; ;0.5;0.5;1;1;2;1;0;14;174;;;;;;;;
99860625;BL;Neubau eines Einfamilienhauses;1; ; ;11.01.2006; ;0.5;0.5;1;1;0;1;0;14;;;;;;;;;
99860622;BL;Neubau Stützmauer;1; ; ;10.01.2006; ;0.05;0.05;0;0;0;0;0;431;;;;;;;;;
99860621;BL;Umbau eines Mehrfamilienhauses;3; ; ;11.01.2006; ;0.25;0.25;1;2;0;0;0;12;115;;;;;;;;
99860620;BL;Neubau eines Laufstalles mit Remise und Jauchegrube;1; ; ;10.01.2006; ;0.6;0.6;2;0;1;0;0;41;43;48;;;;;;;
99860619;BL;Neubau Stützmauer;1; ; ;10.01.2006; ;0.05;0.05;0;0;0;0;0;431;;;;;;;;;
99854641;BL;Anbau eines Wintergartens;2;Mrz 06; ;30.11.2005;18.01.2006;0.07;0.07;1;0;0;0;0;171;;;;;;;;;
99852446;BL;An- und Umbau einer Wohnung beim Zweifamilienhaus;2;Feb 06;Mai 06;16.11.2005;23.01.2006;0.18;0.18;1;1;1;0;0;14;;;;;;;;;
99851135;BL;Umbau und Erweiterung eines Einfamilienhauses;2;Jan 06; ;10.11.2005;05.01.2006;0.2;0.2;1;1;1;0;0;14;;;;;;;;;
99851129;BL;Wohnzimmererweiterung beim Einfamilienhaus;2;Jan 06;Mrz 06;09.11.2005;03.01.2006;0.12;0.12;1;1;2;1;0;14;;;;;;;;;
99848936;BL;Ausbau Dachgeschoss beim Einfamilienhaus;3; ; ;26.10.2005;12.01.2006;0.2;0.2;1;1;2;0;0;14;;;;;;;;;
99848931;BL;Neubau eines Einfamilienhauses mit Schopf;1;Feb 06;Aug 06;27.10.2005;18.01.2006;0.73;0.74;1;1;2;1;0;14;41;;;;;;;;
99841582;BL;H2, Umfahrung Sissach, Tunnel Chienberg, SE10;1; ; ;05.01.2006; ;0;0;0;0;0;0;0;700;9051;;;;;;;;
99841581;BL;H2, Umfahrung Sissach, Tunnel Chienberg, SE11;1; ; ;05.01.2006; ;0;0;0;0;0;0;0;700;9051;;;;;;;;
99841170;BL;Umbau und Sanierung eines Wohn- und Geschäftshauses                     ;3;Jan 06; ;07.09.2005;18.01.2006;1.2;1.2;1;4;0;0;0;12;;;;;;;;;
99841169;BL;Wohnungseinbau in Oekonomiegebäude;3;Mrz 06;Jul 06;07.09.2005;19.01.2006;0.4;0.4;1;1;3;0;0;14;;;;;;;;;
99841149;BL;Neubau einer Viehscheune mit Jauchegrube         ;1; ; ;07.09.2005;12.01.2006;0.2;0.2;1;0;0;0;0;43;48;;;;;;;;
99842277;BL;Neubau Einfamilienhaus mit Garage;1; ; ;15.09.2005;12.01.2006;0.5;0.5;1;1;0;1;0;14;139;;;;;;;;
99844462;BL;Einbau einer Wohnung in Scheune;3;Jun 06; ;28.09.2005;23.01.2006;0.2;0.2;1;1;0;0;0;14;;;;;;;;;
99844460;BL;Neubau Einfamilienhaus mit angebauter Garage         ;1;Dez 05;Jun 06;28.09.2005;18.01.2006;0.615;0.615;1;1;2;1;0;14;139;;;;;;;;
99841172;BL;Erweiterung Schafstall         ;2;Mrz 06; ;04.09.2005;11.01.2006;0.03;0.03;1;0;0;0;0;43;;;;;;;;;
99860614;BL;Anbau eines Wintergartens;2; ; ;10.01.2006; ;0.07;0.07;1;0;0;0;0;171;;;;;;;;;
99860629;BL;Fenstervergrösserung beim Sekundarschulhaus;3; ; ;11.01.2006; ;0.03;0.03;1;0;0;0;0;22;;;;;;;;;
99860644;BL;Neubau eines Einfamilienhauses mit freistehender Doppelgarage;1; ; ;10.01.2006; ;0.56;0.56;1;1;2;1;0;14;139;;;;;;;;
99855750;BL;Dachstockausbau beim Einfamilienhaus                       ;3; ; ;07.12.2005;23.01.2006;0.05;0.05;1;1;1;0;0;14;;;;;;;;;
99861948;BL;Anbau eines Wintergartens;2; ; ;17.01.2006; ;0.07;0.07;1;0;0;0;0;171;;;;;;;;;
99861946;BL;Neubau Stützmauer                   ;1; ; ;17.01.2006; ;0.05;0.05;0;0;0;0;0;431;;;;;;;;;
99861937;BL;Anbau eines Wintergartens und Garage;2; ; ;17.01.2006; ;0.09;0.09;1;0;0;0;0;139;171;;;;;;;;
99864157;BL;Neubau eines Einfamilienhauses mit freistehender Doppelgarage;1; ; ;31.01.2006; ;0.5;0.5;1;1;2;1;0;14;139;;;;;;;;
99864155;BL;Neubau von Remisen;1; ; ;31.01.2006; ;0.07;0.07;0;0;0;0;0;41;;;;;;;;;
99864146;BL;Erweiterung einer Fabrik;2; ; ;31.01.2006; ;0.4;0.4;1;0;1;0;0;37;;;;;;;;;
99863005;BL;Erweiterung einer Antennenanlage mit Richtfunk;2; ; ;24.01.2006; ;0.07;0.07;0;0;0;0;0;631;;;;;;;;;
99862990;BL;Neubau Einfamilienhaus mit integrierter Garage           ;1; ; ;26.01.2006; ;0.6;0.6;1;1;2;0;0;14;;;;;;;;;
99861915;BL;Neubau eines Einfamilienhauses mit integrierter Garage;1; ; ;16.01.2006; ;0.46;0.46;1;1;2;1;0;14;;;;;;;;;
99861914;BL;Erweiterung eines Einfamilienhauses;2; ; ;19.01.2006; ;0.2;0.2;1;1;0;0;0;14;;;;;;;;;
99861913;BL;Neubau eines Weihers;1; ; ;17.01.2006; ;0.05;0.05;0;0;0;0;0;;;;;;;;;;
99861912;BL;Neubau eines Einfamilienhauses mit integrierter Garage;1; ; ;16.01.2006; ;0.46;0.46;1;1;2;1;0;14;;;;;;;;;
99861932;BL;Anbau eines Wintergartens;2; ; ;17.01.2006; ;0.07;0.07;1;0;0;0;0;171;;;;;;;;;
99860586;BL;Einbau eines Cheminée-Ofens und Aussenkamin beim Einfamilienhaus;3; ; ;10.01.2006; ;0.05;0.05;1;1;0;0;0;14;;;;;;;;;
99860630;BL;Umbau eines Bauernhauses;3; ; ;10.01.2006; ;0.3;0.3;1;1;1;0;0;14;;;;;;;;;
99860628;BL;Erweiterung eines Einfamilienhauses mit Anbau Loggia;2; ; ;10.01.2006; ;0.15;0.15;1;1;1;0;0;14;;;;;;;;;
99854631;BL;Neubau Einfamilienhaus mit Carport;1;Mrz 06;Sep 06;30.11.2005;18.01.2006;0.45;0.45;1;1;2;1;0;14;174;;;;;;;;
99848947;BL;Anbau eines Wintergartens;2; ; ;25.10.2005;19.01.2006;0.07;0.07;1;0;0;0;0;171;;;;;;;;;
99850090;BL;Neubau eines Doppeleinfamilienhauses mit Garagen;1;Feb 06;Aug 06;31.10.2005;18.01.2006;0.8;0.8;1;2;0;1;0;14;139;;;;;;;;
99850091;BL;Anbau eines Wintergartens und Kamin;2; ; ;02.11.2005;12.01.2006;0.07;0.07;1;1;0;0;0;171;;;;;;;;;
99836185;BS;Umbau von 2 Mehrfamilienhäusern mit Einbau Lift;3;Jan 06;Sep 06;11.08.2005;09.01.2006;1;1;2;5;3;0;0;12;;;;;;;;;
99843987;BS;Umbau und Sanierung eines Wohn- und Geschäftshauses;3;Aug 06;Mai 07;29.09.2005;11.01.2006;9;9;1;5;3;1;0;12;64;;;;;;;;
99850739;BS;Umbau von 2 Dachwohnungen, Unternehmer bestimmt;3; ; ;10.11.2005;05.01.2006;0.09;0.09;2;2;1;0;0;14;;;;;;;;;
99850736;BS;Einbau eines Ladens;3; ; ;10.11.2005;23.01.2006;0.05;0.05;1;0;0;0;0;61;;;;;;;;;
